"Species_Name","SpeciesCode","FunGroup","n.plots","min.years","max.years","mean.years"
"Acmispon wrangelianus","ACMWRA","Native Forb",18,1,13,8.38888888888889
"Amsinckia menziesii","AMSMEN","Native Forb",3,1,3,1.66666666666667
"Amsinckia tessellata","AMSTES","Native Forb",33,1,14,5.15151515151515
"Astragalus didymocarpus","ASTDID","Native Forb",4,1,2,1.25
"Astragalus lentiginosus","ASTLEN","Native Forb",2,1,2,1.5
"Bromus hordeaceus","BROHOR","Exotic Grass",1,1,1,1
"Bromus madritensis","BROMAD","Exotic Grass",34,1,13,6.8235294117647
"Calandrinia ciliata","CALMEN","Native Forb",34,1,10,5.35294117647059
"Camissonia campestris","CAMCAM","Native Forb",4,1,2,1.5
"Camissonia pallida","CAMPAL","Native Forb",4,1,4,2.5
"Capsella bursa-pastoris","CAPBUR","Exotic Forb",7,1,3,1.85714285714286
"Castilleja","CASBRE","Native Forb",1,1,1,1
"Castilleja exserta","CASEXS","Native Forb",5,1,3,1.8
"Castilleja lineariloba","CASLIN","Native Forb",2,1,1,1
"Caulanthus lasiophyllus","CAULAS","Native Forb",21,1,7,3.57142857142857
"Chaenactis glabriuscula","CHAGLA","Native Forb",11,1,6,3.36363636363636
"Chorizanthe uniaristata","CHOUNI","Native Forb",17,1,12,6.76470588235294
"Crassula connata","CRACON","Native Forb",8,1,5,2.5
"Croton setiger","CROSET","Native Forb",1,1,1,1
"Descurainia pinnata","DESPIN","Native Forb",1,1,1,1
"Descurainia sophia","DESSOP","Exotic Forb",1,1,1,1
"Eriogonum gracillimum","ERIGRA","Native Forb",19,1,5,2.05263157894737
"Erodium cicutarium","EROCIC","Exotic Forb",36,13,14,13.8333333333333
"Euphorbia ocellata","EUPOCE","Native Forb",2,1,1,1
"Festuca bromoides","FESBRO","Exotic Grass",5,1,5,2.8
"Festuca microstachys","FESMIC","Native Grass",36,5,13,10.0833333333333
"Festuca myuros","FESMYU","Exotic Grass",21,1,8,3.57142857142857
"Gilia tricolor","GILTRI","Native Forb",1,1,1,1
"Herniaria hirsuta","HERHIR","Exotic Forb",15,1,10,3.53333333333333
"Hollisteria lanata","HOLLAN","Native Forb",16,2,14,7.1875
"Hordeum murinum","HORMUR","Exotic Grass",27,1,14,6.81481481481481
"Lactuca serriola","LACSER","Exotic Forb",3,1,1,1
"Lasthenia coronaria","LASCOR","Native Forb",8,1,9,4.375
"Lasthenia gracilis","LASGRA","Native Forb",32,1,14,6.09375
"Lasthenia minor","LASMIN","Native Forb",24,1,11,4.20833333333333
"Lepidium dictyotum","LEPDIC","Native Forb",7,1,2,1.28571428571429
"Leptosiphon liniflorus","LEPLIN","Native Forb",5,1,7,4.2
"Lepidium nitidum","LEPNIT","Native Forb",36,2,14,9.91666666666667
"Linanthus parviflorus","LINPAR","Native Forb",4,1,1,1
"","LUMIMI","Native ",8,1,2,1.25
"Lupinus bicolor","LUPBIC","Native Forb",5,1,1,1
"Lupinus microcarpus","LUPMIC","Native Forb",3,1,2,1.33333333333333
"Malacothrix coulteri","MALCOU","Native Forb",9,1,4,1.44444444444444
"Microseris douglasii","MICDOU","Native Forb",20,1,8,2.5
"Microseris elegans","MICELE","Native Forb",29,1,11,4.06896551724138
"Phlox gracilis","MICGRA","Native Forb",3,1,3,1.66666666666667
"Minuartia pusilla","MINPUS","Native Forb",1,1,1,1
"Pectocarya penicillata","PECPEN","Native Forb",20,1,14,8
"Phacelia ciliata","PHACIL","Native Forb",1,2,2,2
"Platystemon californicus","PLACAL","Native Forb",1,2,2,2
"Plagiobothrys canescens","PLACAN","Native Forb",6,1,7,3.83333333333333
"Plantago erecta","PLAERE","Native Forb",7,1,3,1.28571428571429
"Salvia carduacea","SALCAR","Native Forb",1,1,1,1
"Salsola tragus","SALTRA","Exotic Forb",5,1,2,1.2
"Schismus arabicus","SCHARA","Exotic Grass",36,2,14,10.8888888888889
"Sisymbrium altissimum","SISALT","Exotic Forb",4,1,1,1
"Sisymbrium irio","SISIRI","Exotic Forb",4,1,1,1
"Stellaria media","STEMED","Exotic Forb",1,1,1,1
"Thysanocarpus laciniatus","THYLAC","Native Forb",1,1,1,1
"Trifolium albopurpureum","TRIALB","Native Forb",1,1,1,1
"Trifolium depauperatum","TRIDEP","Native Forb",3,1,1,1
"Trifolium gracilentum","TRIGRA","Native Forb",28,3,13,8.96428571428571
"Trichostema lanceolatum","TRILAN","Native Forb",16,1,3,1.6875
"Tropidocarpum gracile","TROGRA","Native Forb",17,1,10,4.11764705882353
"Uropappus lindleyi","UROLIN","Native Forb",5,1,4,1.8
