"Species_Name","Code","FunGroup","n.plots","mean.years","min.years","max.years"
"Agoseris heterophylla","AGOHET","Native Forb",36,13.0555555555556,5,21.5
"Astragalus gambelianus","ASTGAM","Native Forb",36,11.375,2.5,21.5
"Bromus hordeaceus","BROHOR","Exotic Grass",36,35.9444444444444,32,37
"Calandrinia ciliata","CALMEN","Native Forb",17,3.16315789473684,1,11
"Calycadenia multiglandulosa","CALMUL","Native Forb",36,29.375,21,35.5
"Castilleja densiflora","CASDEN","Native Forb",36,20.4861111111111,7.5,30.5
"Crassula connata","CRACON","Native Forb",29,5.01724137931035,1,20
"Epilobium brachycarpum","EPIBRA","Native Forb",35,4.05882352941176,1.5,8.5
"Festuca perennis","FESPER","Exotic Grass",21,2.80892448512586,1,8.5
"Gilia clivorum","GILCLI","Native Forb",6,1.6,1,3.5
"Hemizonia congesta","HEMCON","Native Forb",35.5,5.30992063492064,1,13
"Hesperevax sparsiflora","HESSPA","Native Forb",36,18.25,2.5,33
"Lasthenia californica","LASCAL","Native Forb",36,31.5138888888889,22.5,37
"Layia platyglossa","LAYPLA","Native Forb",36,12.5555555555556,5.5,20
"Lepidium nitidum","LEPNIT","Native Forb",5.5,1.55,1,3.5
"Linanthus parviflorus","LINPAR","Native Forb",2,1,1,1
"Lotus wrangelianus","ACMWRA","Native Forb",36,27.375,15.5,36.5
"Micropus californicus","MICCAL","Native Forb",33,9.98345588235295,1,28.5
"Microseris douglasii","MICDOU","Native Forb",36,22.4166666666667,17,28
"Plagiobothrys nothofulvus","PLANOT","Native Forb",3,1.375,1,2
"Plantago erecta","PLAERE","Native Forb",36,36.5,33.5,37
"Trifolium albopurpureum","TRIALB","Native Forb",18,4.56346749226006,1,13.5
"Trifolium willdenovii","TRIWIL","Native Forb",2.5,1,1,1
"Vulpia microstachys var pauciflora","FESMIC","Native Grass",36,19.3472222222222,13,27.5
