"SpeciesCode","Species_Name","Code","FunGroup","n.plots","min.years","max.years","mean.years"
"amsi tess","Amsinckia tessellata","AMSTES","NA NA",1,1,1,1
"andr occi","Androsace occidentalis","ANDOCC","Native Forb",1,3,3,3
"astr nutt","Astragalus nuttallianus","ASTNUT","Native Forb",41,1,6,2.65853658536585
"caly wrig","Calycoseris wrightii","CALWRI","Native Forb",45,1,2,1.33333333333333
"chae stev","Chaenactis stevioides","CHASTE","Native Forb",44,1,12,4.81818181818182
"cryp cras","Cryptantha crassisepala","CRYCRA","Native Forb",40,1,6,2.225
"cryp micr","Cryptantha micrantha","CRYMIC","Native Forb",49,1,12,5.20408163265306
"desc pinn","Descurainia pinnata","DESPIN","Native Forb",62,1,12,5.53225806451613
"eria diff","Eriastrum diffusum","ERIDIF","Native Forb",63,3,12,7.34920634920635
"erod texa","Erodium texanum","EROTEX","Native Forb",3,1,1,1
"esch mexi","Eschscholzia californica","ESCCAL","Native Forb",23,1,8,4.91304347826087
"gili sinu","Gilia sinuata","GILSIN","Native Forb",41,1,9,4
"lapp redo","Lappula occidentalis","LAPRED","Native Forb",13,1,5,2.07692307692308
"lepi lasi","Lepidium lasiocarpum","LEPLAS","Native Forb",17,1,5,1.94117647058824
"lesq gord","Physaria gordoni","LESGOR","Native Forb",19,1,9,3.57894736842105
"lina bige","Linanthus bigelovii","LINBIG","Native Forb",24,1,4,1.66666666666667
"lina texa","Nuttallanthus texanus","NUTTEX","NA NA",3,1,1,1
"lupi conc","Lupinus concinnus","LUPCON","Native Forb",21,1,5,2.42857142857143
"mala fend","Malacothrix fendleri","MALFEN","Native Forb",54,1,6,2.05555555555556
"micr lene","Uropappus lindleyi","UROLIN","Native Forb",42,1,10,2.4047619047619
"nama hisp","Nama hispidum","NAMHIS","Native Forb",4,1,2,1.25
"oeno prim","Oenothera primiveris","OENPRI","Native Forb",27,1,5,1.96296296296296
"phac ariz","Phacelia arizonica","PHAARI","Native Forb",48,1,8,3.1875
"plag ariz","Plagiobothrys arizonicus","PLAARI","Native Forb",12,1,5,1.33333333333333
"plan purs","Plantago patagonica","PLAPAT","Native Forb",35,1,10,3.62857142857143
"schi barb","Schismus barbatus","SCHBAR","Exotic Grass",8,1,1,1
"sisy irio","Sisymbrium irio","SISIRI","NA NA",1,1,1,1
"sper echi","Spermolepis echinata","SPEECH","Native Forb",60,1,11,5.95
"step exig","Stephanomeria exigua","STEEXI","Native Forb",58,1,7,2.75862068965517
"vulp octo","Vulpia octoflora","FESOCT","Native Grass",43,1,13,5.06976744186047
